a52dec 0.7.4-11
aalib 1.4rc5-14
accountsservice 22.08.8-2
acl 2.3.1-2
acpi_call 1.2.2-43
adobe-source-code-pro-fonts 2.038ro+1.058it+1.018var-1
adwaita-icon-theme 42.0+r1+gc144c3d75-1
alsa-card-profiles 1:0.3.51-1
alsa-firmware 1.2.4-2
alsa-lib 1.2.6.1-1
alsa-plugins 1:1.2.6-3
alsa-topology-conf 1.2.5.1-1
alsa-ucm-conf 1.2.6.3-1
amazon-ecr-credential-helper 0.6.0-2
amd-ucode 20220509.b19cbdc-1
android-tools 31.0.3-5
android-udev 20220102-1
ansible 5.8.0-1
ansible-aur-git 0.25.r4.gdff3cfb-1
ansible-core 2.13.0-1
aom 3.3.0-1
appstream-glib 0.7.18-2
arandr 0.1.10-7
archlabs-dARK 1.0-2
archlabs-fonts 1.4.1-1
archlabs-i3lock-color 2.12-1
archlabs-i3lock-fancy 1.0-1
archlabs-icons 1.3.1-2
archlabs-keyring 2019.10.06-1
archlabs-ksuperkey 0.4-3
archlabs-networkmanager-dmenu 58.2-2
archlabs-polybar 3.4.0-4
archlabs-scripts 1.3.4-1
archlabs-skel-base 1.2.8-1
archlabs-skel-i3-gaps 1.0.7-1
archlabs-themes 1.5.9-1
archlabs-wallpapers 1.5.3-1
archlinux-keyring 20220424-1
argon2 20190702-4
aribb24 1.0.3-3
aspell 0.60.8-2
at-spi2-atk 2.38.0-1
at-spi2-core 2.44.1-1
atk 2.38.0-1
atkmm 2.28.2-2
attr 2.5.1-2
audit 3.0.8-1
autoconf 2.71-1
autoconf-archive 1:2022.02.11-1
automake 1.16.5-1
avahi 0.8+22+gfd482a7-3
aws-cli 1.24.7-1
b43-firmware 6.30.163.46-2
b43-fwcutter 019-3
bash 5.1.016-1
bc 1.07.1-4
binutils 2.38-5
bison 3.8.2-4
bluez-libs 5.64-2
boost-libs 1.78.0-2
box2d 2.4.1-1
bridge-utils 1.7.1-1
broadcom-wl 6.30.223.271-388
brotli 1.0.9-8
btop 1.2.7-1
btrfs-progs 5.18-1
bubblewrap 0.6.2-1
bzip2 1.0.8-4
c-ares 1.18.1-1
ca-certificates 20210603-1
ca-certificates-mozilla 3.79-1
ca-certificates-utils 20210603-1
cairo 1.17.6-2
cairomm 1.14.3-2
cantarell-fonts 1:0.303.1-1
cdparanoia 10.2-8
celt 0.11.3-4
celt0.5.1 0.5.1.3-5
ceph-libs 15.2.14-5
cifs-utils 6.15-1
cloc 1.92-1
clonezilla 3.35.2-3
clucene 2.3.3.4-12
colord 1.4.6-1
confuse 3.3-3
containerd 1.6.4-1
coreutils 9.1-1
cracklib 2.9.7-2
cryptsetup 2.4.3-2
curl 7.83.1-1
cython 0.29.30-1
dav1d 1.0.0-1
db 5.3.28-5
dbus 1.14.0-1
dbus-glib 0.112-2
dbus-python 1.2.18-3
dconf 0.40.0-1
desktop-file-utils 0.26-2
device-mapper 2.03.16-1
dhclient 4.4.3-1
dhcpcd 9.4.1-1
diff-so-fancy 1.4.3-1
diffutils 3.8-1
ding-libs 0.6.2-1
discord 0.0.17-1
dmidecode 3.3-1
dmraid 1.0.0.rc16.3-13
dnssec-anchors 20190629-3
docbook-xml 4.5-9
docbook-xsl 1.79.2-7
docker 1:20.10.16-1
docker-compose 2.6.0-1
dosfstools 4.2-2
double-conversion 3.2.0-1
drbl 2.30.5-1
dunst 1.8.1-1
e2fsprogs 1.46.5-3
ecryptfs-utils 111-5
efibootmgr 17-2
efitools 1.9.2-4
efivar 38-2
elfutils 0.187-1
enchant 2.3.3-1
espeak 1:1.48.04-4
ethtool 1:5.17-1
exfat-utils 1.3.0-2
exo 4.16.3-1
expat 2.4.8-1
f2fs-tools 1.15.0-1
faad2 2.10.0-1
fakeroot 1.29-1
feh 3.8-2
ffmpeg 2:5.0-7
ffmpeg4.4 4.4.1-5
file 5.41-1
filesystem 2021.12.07-1
findutils 4.9.0-1
firefox 100.0.2-1
firefox-developer-edition 102.0b1-1
flac 1.3.4-2
flameshot 11.0.0-5
flatpak 1:1.12.7-1
flex 2.6.4-3
fmt 8.1.1-2
fontconfig 2:2.14.0-1
fortune-mod 3.14.0-1
freeglut 3.2.2-2
freetype2 2.12.1-1
fribidi 1.0.12-1
fuse-common 3.11.0-1
fuse2 2.9.9-4
fuse3 3.11.0-1
fzf 0.30.0-3
garcon 4.16.1-1
gawk 5.1.1-1
gc 8.2.0-3
gcab 1.4-1
gcc 12.1.0-2
gcc-libs 12.1.0-2
gconf 3.2.6+11+g07808097-10
gcr 3.41.0-2
gd 2.3.3-4
gdbm 1.23-1
gdk-pixbuf2 2.42.8-1
geoclue 2.6.0-2
geocode-glib 3.26.2+r9+g6047da3-2
geoip 1.6.12-2
geoip-database 20220524-1
gettext 0.21-2
giblib 1.2.4-8
giflib 5.2.1-2
git 2.36.1-1
glib-networking 1:2.72.0-1
glib2 2.72.1-1
glib2-docs 2.72.1-1
glibc 2.35-5
glibmm 2.66.4-1
glslang 11.9.0-1
glu 9.0.2-3
gmp 6.2.1-2
gnome-common 3.18.0-4
gnome-desktop-4 1:42.1-1
gnome-desktop-common 1:42.1-1
gnome-keyring 1:42.1-1
gnome-themes-extra 3.28+r6+g45b1d457-1
gnupg 2.2.35-2
gnutls 3.7.6-1
go 2:1.18.2-1
go-tools 4:0.1.10-2
gobject-introspection 1.72.0-1
gobject-introspection-runtime 1.72.0-1
google-chrome 102.0.5005.61-1
gperf 3.1-3
gpgme 1.17.1-1
gpm 1.20.7.r38.ge82d1a6-4
gptfdisk 1.0.9-1
graphene 1.10.8-1
graphite 1:1.3.14-2
grep 3.7-1
groff 1.22.4-7
grub 2:2.06-5
gsettings-desktop-schemas 42.0-1
gsimplecal 2.2-1
gsm 1.0.19-1
gssproxy 0.9.0-1
gst-libav 1.20.2-1
gst-plugins-bad-libs 1.20.2-1
gst-plugins-base 1.20.2-1
gst-plugins-base-libs 1.20.2-1
gst-plugins-good 1.20.2-1
gstreamer 1.20.2-1
gtk-doc 1.33.2-1
gtk-engine-murrine 0.98.2-4
gtk-engines 2.21.0-5
gtk-update-icon-cache 1:4.6.4-1
gtk2 2.24.33-2
gtk3 1:3.24.34-1
gtk4 1:4.6.4-1
gtkmm 1:2.24.5-4
gtkmm3 3.24.6-1
guile 2.2.7-2
gvfs 1.50.2-1
gvfs-afc 1.50.2-1
gvfs-gphoto2 1.50.2-1
gzip 1.12-1
harfbuzz 4.3.0-1
harfbuzz-icu 4.3.0-1
haveged 1.9.18-1
hdparm 9.63-2
hicolor-icon-theme 0.17-2
hidapi 0.12.0-1
hspell 1.4-4
htop 3.2.0-1
http-parser 2.9.4-1
hub 2.14.2-3
hunspell 1.7.0-4
hwdata 0.359-1
hyphen 2.8.8-4
i3-gaps 4.20.1-2
i3status 2.14-1
iana-etc 20220427-1
ibus 1.5.26-2
icdiff 2.0.5-1
icu 71.1-1
imagemagick 7.1.0.36-2
imlib2 1.9.0-3
inetutils 2.2-1
iniparser 4.1-4
inotify-tools 3.22.1.0-1
intel-gmmlib 22.1.3-1
intel-media-driver 22.4.2-1
intel-media-sdk 22.3.0-1
intel-ucode 20220510-1
intltool 0.51.0-6
iproute2 5.18.0-1
iptables 1:1.8.8-1
iputils 20211215-1
ipw2100-fw 1.3-10
ipw2200-fw 3.1-8
iso-codes 4.9.0-1
itstool 1:2.0.7-1
iw 5.19-1
jack2 1.9.21-1
jansson 2.14-2
jasper 3.0.3-1
jemalloc 1:5.3.0-1
jfsutils 1.1.15-8
jq 1.6-4
js52 52.9.0-4
js60 60.9.0-2
js68 68.12.0-1
js78 78.15.0-4
json-c 0.16-1
json-glib 1.6.6-2
jsoncpp 1.9.1-1
